"","newcase.date","region","newcases","cases.per10k"
"2365",2020-06-25,"RISARALDA",19,0.00373406389965981
"2366",2020-06-25,"SANTANDER",61,0.0119883104146973
"2367",2020-06-25,"SUCRE",199,0.0391094061069632
"2368",2020-06-25,"TOLIMA",18,0.00353753422073034
"2369",2020-06-25,"VALLE DEL CAUCA",500,0.0982648394647318
"2370",2020-06-25,"VAUPÉS",12,0.00235835614715356
"2371",2020-06-26,"AMAZONAS",4,0.000786118715717854
"2372",2020-06-26,"ANTIOQUIA",480,0.0943342458861425
"2373",2020-06-26,"ARAUCA",3,0.000589589036788391
"2374",2020-06-26,"ATLÁNTICO",1226,0.240945386367522
"2375",2020-06-26,"BOGOTÁ, D.C.",1561,0.306782828808893
"2376",2020-06-26,"BOLÍVAR",349,0.0685888579463828
"2377",2020-06-26,"BOYACÁ",15,0.00294794518394195
"2378",2020-06-26,"CÓRDOBA",141,0.0277106847290544
"2379",2020-06-26,"CALDAS",7,0.00137570775250624
"2380",2020-06-26,"CAQUETÁ",12,0.00235835614715356
"2381",2020-06-26,"CASANARE",10,0.00196529678929464
"2382",2020-06-26,"CAUCA",24,0.00471671229430713
"2383",2020-06-26,"CESAR",50,0.00982648394647318
"2384",2020-06-26,"CHOCÓ",103,0.0202425569297347
"2385",2020-06-26,"CUNDINAMARCA",158,0.0310516892708552
"2386",2020-06-26,"GUAVIARE",1,0.000196529678929464
"2387",2020-06-26,"HUILA",16,0.00314447486287142
"2388",2020-06-26,"LA GUAJIRA",74,0.0145431962407803
"2389",2020-06-26,"MAGDALENA",177,0.034785753170515
"2390",2020-06-26,"META",38,0.00746812779931961
"2391",2020-06-26,"NARIÑO",94,0.0184737898193696
"2392",2020-06-26,"NORTE DE SANTANDER",19,0.00373406389965981
"2393",2020-06-26,"PUTUMAYO",5,0.000982648394647318
"2394",2020-06-26,"QUINDÍO",4,0.000786118715717854
"2395",2020-06-26,"RISARALDA",28,0.00550283101002498
"2396",2020-06-26,"SANTANDER",81,0.0159189039932865
"2397",2020-06-26,"SUCRE",180,0.0353753422073034
"2398",2020-06-26,"TOLIMA",20,0.00393059357858927
"2399",2020-06-26,"VALLE DEL CAUCA",535,0.105143378227263
"2400",2020-06-26,"VAUPÉS",7,0.00137570775250624
"2401",2020-06-27,"AMAZONAS",1,0.000196529678929464
"2402",2020-06-27,"ANTIOQUIA",381,0.0748778076721256
"2403",2020-06-27,"ATLÁNTICO",1025,0.2014429209027
"2404",2020-06-27,"BOGOTÁ, D.C.",2432,0.477960179156455
"2405",2020-06-27,"BOLÍVAR",252,0.0495254790902248
"2406",2020-06-27,"BOYACÁ",21,0.00412712325751873
"2407",2020-06-27,"CÓRDOBA",104,0.0204390866086642
"2408",2020-06-27,"CALDAS",2,0.000393059357858927
"2409",2020-06-27,"CAQUETÁ",20,0.00393059357858927
"2410",2020-06-27,"CASANARE",3,0.000589589036788391
"2411",2020-06-27,"CAUCA",35,0.00687853876253122
"2412",2020-06-27,"CESAR",63,0.0123813697725562
"2413",2020-06-27,"CHOCÓ",47,0.00923689490968478
"2414",2020-06-27,"CUNDINAMARCA",194,0.0381267577123159
"2415",2020-06-27,"HUILA",5,0.000982648394647318
"2416",2020-06-27,"LA GUAJIRA",63,0.0123813697725562
"2417",2020-06-27,"MAGDALENA",140,0.0275141550501249
"2418",2020-06-27,"META",31,0.00609242004681337
"2419",2020-06-27,"NARIÑO",117,0.0229939724347472
"2420",2020-06-27,"NORTE DE SANTANDER",33,0.0064854794046723
"2421",2020-06-27,"PUTUMAYO",10,0.00196529678929464
"2422",2020-06-27,"QUINDÍO",3,0.000589589036788391
"2423",2020-06-27,"RISARALDA",15,0.00294794518394195
"2424",2020-06-27,"SANTANDER",60,0.0117917807357678
"2425",2020-06-27,"SUCRE",122,0.0239766208293946
"2426",2020-06-27,"TOLIMA",22,0.0043236529364482
"2427",2020-06-27,"VALLE DEL CAUCA",478,0.0939411865282836
"2428",2020-06-27,"VAUPÉS",1,0.000196529678929464
"2429",2020-06-28,"AMAZONAS",3,0.000589589036788391
"2430",2020-06-28,"ANTIOQUIA",441,0.0866695884078934
"2431",2020-06-28,"ARAUCA",2,0.000393059357858927
"2432",2020-06-28,"ATLÁNTICO",933,0.183362190441189
"2433",2020-06-28,"BOGOTÁ, D.C.",1460,0.286933331237017
"2434",2020-06-28,"BOLÍVAR",250,0.0491324197323659
"2435",2020-06-28,"BOYACÁ",11,0.0021618264682241
"2436",2020-06-28,"CÓRDOBA",168,0.0330169860601499
"2437",2020-06-28,"CALDAS",4,0.000786118715717854
"2438",2020-06-28,"CAQUETÁ",66,0.0129709588093446
"2439",2020-06-28,"CASANARE",4,0.000786118715717854
"2440",2020-06-28,"CAUCA",62,0.0121848400936267
"2441",2020-06-28,"CESAR",26,0.00510977165216605
"2442",2020-06-28,"CHOCÓ",43,0.00845077619396693
"2443",2020-06-28,"CUNDINAMARCA",125,0.0245662098661829
"2444",2020-06-28,"GUAVIARE",2,0.000393059357858927
"2445",2020-06-28,"HUILA",11,0.0021618264682241
"2446",2020-06-28,"LA GUAJIRA",48,0.00943342458861425
"2447",2020-06-28,"MAGDALENA",209,0.0410747028962579
"2448",2020-06-28,"META",40,0.00786118715717854
"2449",2020-06-28,"NARIÑO",119,0.0233870317926062
"2450",2020-06-28,"NORTE DE SANTANDER",25,0.00491324197323659
"2451",2020-06-28,"PUTUMAYO",8,0.00157223743143571
"2452",2020-06-28,"RISARALDA",15,0.00294794518394195
"2453",2020-06-28,"SANTANDER",78,0.0153293149564982
