"newcase.date","new.cases","mortalities","newcase.rate","mortality.rate"
2020-05-21,8705,37,0.0574465071639414,0.00573812416085928
2020-05-22,9615,59,0.0562518359066889,0.00572494111489139
2020-05-23,8782,56,0.0557959125531814,0.00596526595832576
2020-05-24,8011,47,0.0549721868012049,0.00601761581389094
2020-05-25,7596,41,0.0531413658011539,0.0065336701803293
2020-05-26,8234,66,0.0507470027096247,0.00689377731453545
2020-05-27,8549,52,0.0488867626362867,0.00718972895863053
2020-05-28,6608,54,0.0471790854044945,0.00756259379195956
2020-05-29,6907,61,0.0467382192637671,0.00802683598897808
2020-05-30,6670,57,0.0451685006113928,0.008404579046515
2020-05-31,6080,52,0.0442424066400149,0.00946592689847952
2020-06-01,7034,60,0.044901214700266,0.00973856345739901
2020-06-02,6459,70,0.0448274654812303,0.0102316804696509
2020-06-03,7464,93,0.0447321533002777,0.0106694164439487
2020-06-04,7237,73,0.0442975610181463,0.0114279633964673
2020-06-05,6751,83,0.0423919327473998,0.0124070031630062
2020-06-06,6494,76,0.041165775729792,0.0131406648441269
2020-06-07,5551,82,0.0395569477846205,0.0135555874886238
2020-06-08,4938,80,0.0378435793343138,0.0144945708052261
2020-06-09,5094,85,0.0371837883283454,0.015056622101792
2020-06-10,5689,87,0.0364739471126339,0.0156865815780544
2020-06-11,5360,85,0.036303901711409,0.0169625039386619
2020-06-12,5993,94,0.0363943934844358,0.0177269628153354
2020-06-13,5688,88,0.0375471112617684,0.0182979589759251
2020-06-14,5322,127,0.0364289452809914,0.0198045807942845
2020-06-15,4988,110,0.0359612287463725,0.021553216997469
2020-06-16,6254,128,0.035289498181724,0.022865066202659
2020-06-17,4467,122,0.0349044079905442,0.0242774566473988
2020-06-18,4823,140,0.033401241784308,0.0260649174850955
2020-06-19,5239,126,0.0327267044717138,0.0277524353277024
2020-06-20,5237,129,0.0321413559878721,0.0289307043606134
2020-06-21,3713,150,0.0325719279441089,0.0296166730900359
2020-06-22,4246,148,0.0337477767462949,0.0290191360146671
2020-06-23,5596,149,0.0344836431624397,0.0292499438580732
2020-06-24,4877,157,0.0352911444301135,0.0293309897835878
2020-06-25,6000,154,0.0365782203113601,0.0282713626478545
2020-06-26,5955,155,0.0371723602492012,0.0282661511533739
2020-06-27,6025,155,0.0383810714318707,0.0278185964023309
2020-06-28,5007,148,0.0417133876696468,0.0258133781449844
2020-06-29,4819,164,0.0426821078976817,0.0259040135230829
2020-06-30,6787,165,0.0441335782812022,0.0260176991150442
2020-07-01,8253,165,0.0449740125540595,0.0256778205379079
2020-07-02,6931,182,0.0462597861476172,0.0258624338624339
2020-07-03,7378,197,0.04951378441939,0.0250821554420557
2020-07-04,6818,160,0.0505093745336297,0.0259311095560221
2020-07-05,6264,189,0.0504643285897383,0.0269622178032518
2020-07-06,8083,209,0.0521805287826646,0.0271398353101156
2020-07-07,7717,232,0.0557607219531556,0.0257976557243528
2020-07-08,8103,214,0.0573579427172186,0.0263112521121418
2020-07-09,8585,236,0.0590554807729451,0.0261648384824394
2020-07-10,10908,217,0.0609494753353916,0.0264936249206168
2020-07-11,8338,229,0.0631894220911397,0.0257451295124791
2020-07-12,7888,223,0.0653625672536019,0.0256863671702313
2020-07-13,9872,276,0.0675646124550786,0.0253753842515961
2020-07-14,9852,241,0.0657766154289788,0.0275672055286632
2020-07-15,10156,263,0.0662894398738988,0.0281982200157414
2020-07-16,10650,268,0.0673749293119698,0.0285300744587194
2020-07-17,8938,311,0.0680454274482612,0.028378458439481
2020-07-18,8712,281,0.0690685032126589,0.0295197554160998
2020-07-19,8837,272,0.0706895896800857,0.0298627231823002
2020-07-20,10371,280,0.0711996790428163,0.030527817403709
2020-07-21,10697,343,0.076336592792271,0.0288983423793458
2020-07-22,11581,329,0.0795741435556565,0.0281688335000128
2020-07-23,10964,324,0.0793684027002865,0.0288854245848203
2020-07-24,13825,338,0.0814238719708656,0.0291377052483127
2020-07-25,11719,311,0.0812868751228903,0.0293682413204326
2020-07-26,8460,317,0.08052107146945,0.0302227003214363
2020-07-27,12170,352,0.078584945658356,0.031884096112851
